StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_A	ADMI_319_P1				49				154	444	194.39	156.56	
MAP Protocol	VS_A	ADMI_319_P1				66				173	472	194.58	156.47	
MAP Protocol	VS_A	ADMI_319_P1				83				172	464	194.70	156.50	
MAP Protocol	VS_A	ADMI_319_P1				99				185	475	194.78	156.62	
MAP Protocol	VS_A	ADMI_319_P1				116				173	468	194.92	156.54	
MAP Protocol	VS_A	ADMI_319_P1				133				171	473	195.05	156.58	
MAP Protocol	VS_A	ADMI_319_P1				150								
MAP Protocol	VS_A	ADMI_319_P1				166								
MAP Protocol	VS_A	ADMI_319_P1				183								
MAP Protocol	VS_A	ADMI_319_P1				200								
MAP Protocol	VS_A	ADMI_319_P1				216								
MAP Protocol	VS_A	ADMI_319_P1				233								
MAP Protocol	VS_A	ADMI_319_P1				250								
MAP Protocol	VS_A	ADMI_319_P1				266								
MAP Protocol	VS_A	ADMI_319_P1				283								
MAP Protocol	VS_A	ADMI_319_P1				300								
MAP Protocol	VS_A	ADMI_319_P1				316								
MAP Protocol	VS_A	ADMI_319_P1				333								
MAP Protocol	VS_A	ADMI_319_P1				350								
MAP Protocol	VS_A	ADMI_319_P1				366								
MAP Protocol	VS_A	ADMI_319_P1				383								
MAP Protocol	VS_A	ADMI_319_P1				400								
MAP Protocol	VS_A	ADMI_319_P1				416								
MAP Protocol	VS_A	ADMI_319_P1				433								
MAP Protocol	VS_A	ADMI_319_P1				450								
MAP Protocol	VS_A	ADMI_319_P1				466								
MAP Protocol	VS_A	ADMI_319_P1				483								
MAP Protocol	VS_A	ADMI_319_P1				500								
MAP Protocol	VS_A	ADMI_319_P1				516								
MAP Protocol	VS_A	ADMI_319_P1				533								
MAP Protocol	VS_A	ADMI_319_P1				549								
MAP Protocol	VS_A	ADMI_319_P1				566								
MAP Protocol	VS_A	ADMI_319_P1				583								
MAP Protocol	VS_A	ADMI_319_P1				599								
MAP Protocol	VS_A	ADMI_319_P1				616								
MAP Protocol	VS_A	ADMI_319_P1				633								
MAP Protocol	VS_A	ADMI_319_P1				649								
MAP Protocol	VS_A	ADMI_319_P1				666								
MAP Protocol	VS_A	ADMI_319_P1				682								
MAP Protocol	VS_A	ADMI_319_P1				689	Instruction Element							
MAP Protocol	VS_A	ADMI_319_P1				699								
MAP Protocol	VS_A	ADMI_319_P1				716								
MAP Protocol	VS_A	ADMI_319_P1				732								
MAP Protocol	VS_A	ADMI_319_P1				749								
MAP Protocol	VS_A	ADMI_319_P1				766								
MAP Protocol	VS_A	ADMI_319_P1				782				807	825	198.85	159.20	
MAP Protocol	VS_A	ADMI_319_P1				799				799	837	198.61	158.33	
MAP Protocol	VS_A	ADMI_319_P1				816								
MAP Protocol	VS_A	ADMI_319_P1				833				795	839	198.33	156.71	
MAP Protocol	VS_A	ADMI_319_P1				849								
MAP Protocol	VS_A	ADMI_319_P1				866								
MAP Protocol	VS_A	ADMI_319_P1				883								
MAP Protocol	VS_A	ADMI_319_P1				899								
MAP Protocol	VS_A	ADMI_319_P1				916								
MAP Protocol	VS_A	ADMI_319_P1				933								
MAP Protocol	VS_A	ADMI_319_P1				949								
MAP Protocol	VS_A	ADMI_319_P1				966				800	833	198.38	157.08	
MAP Protocol	VS_A	ADMI_319_P1				982				792	815	198.46	157.15	
MAP Protocol	VS_A	ADMI_319_P1				999								
MAP Protocol	VS_A	ADMI_319_P1				1016								
MAP Protocol	VS_A	ADMI_319_P1				1032								
MAP Protocol	VS_A	ADMI_319_P1				1049								
MAP Protocol	VS_A	ADMI_319_P1				1066								
MAP Protocol	VS_A	ADMI_319_P1				1082								
MAP Protocol	VS_A	ADMI_319_P1				1099								
MAP Protocol	VS_A	ADMI_319_P1				1116								
MAP Protocol	VS_A	ADMI_319_P1				1132								
MAP Protocol	VS_A	ADMI_319_P1				1149								
MAP Protocol	VS_A	ADMI_319_P1				1166								
MAP Protocol	VS_A	ADMI_319_P1				1182								
MAP Protocol	VS_A	ADMI_319_P1				1199								
MAP Protocol	VS_A	ADMI_319_P1				1216								
MAP Protocol	VS_A	ADMI_319_P1				1232								
MAP Protocol	VS_A	ADMI_319_P1				1249								
MAP Protocol	VS_A	ADMI_319_P1				1266								
MAP Protocol	VS_A	ADMI_319_P1				1282								
MAP Protocol	VS_A	ADMI_319_P1				1299								
MAP Protocol	VS_A	ADMI_319_P1				1315								
MAP Protocol	VS_A	ADMI_319_P1				1332								
MAP Protocol	VS_A	ADMI_319_P1				1349								
MAP Protocol	VS_A	ADMI_319_P1				1365								
MAP Protocol	VS_A	ADMI_319_P1				1382								
MAP Protocol	VS_A	ADMI_319_P1				1399								
MAP Protocol	VS_A	ADMI_319_P1				1415								
MAP Protocol	VS_A	ADMI_319_P1				1432								
MAP Protocol	VS_A	ADMI_319_P1				1449								
MAP Protocol	VS_A	ADMI_319_P1				1465								
MAP Protocol	VS_A	ADMI_319_P1				1482								
MAP Protocol	VS_A	ADMI_319_P1				1499								
MAP Protocol	VS_A	ADMI_319_P1				1515								
MAP Protocol	VS_A	ADMI_319_P1				1532								
MAP Protocol	VS_A	ADMI_319_P1				1549								
MAP Protocol	VS_A	ADMI_319_P1				1565								
MAP Protocol	VS_A	ADMI_319_P1				1582								
MAP Protocol	VS_A	ADMI_319_P1				1598								
MAP Protocol	VS_A	ADMI_319_P1				1615								
MAP Protocol	VS_A	ADMI_319_P1				1632								
MAP Protocol	VS_A	ADMI_319_P1				1648								
MAP Protocol	VS_A	ADMI_319_P1				1665								
MAP Protocol	VS_A	ADMI_319_P1				1682								
MAP Protocol	VS_A	ADMI_319_P1				1698								
MAP Protocol	VS_A	ADMI_319_P1				1715								
MAP Protocol	VS_A	ADMI_319_P1				1732								
MAP Protocol	VS_A	ADMI_319_P1				1748								
MAP Protocol	VS_A	ADMI_319_P1				1765								
MAP Protocol	VS_A	ADMI_319_P1				1781								
MAP Protocol	VS_A	ADMI_319_P1				1798								
