StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_A	ADMI_406_M1				27				232	355	209.60	266.92	
MAP Protocol	VS_A	ADMI_406_M1				43				241	370	209.52	267.00	
MAP Protocol	VS_A	ADMI_406_M1				60				248	354	209.48	267.03	
MAP Protocol	VS_A	ADMI_406_M1				77				232	349	209.47	266.99	
MAP Protocol	VS_A	ADMI_406_M1				93				242	360	209.47	267.01	
MAP Protocol	VS_A	ADMI_406_M1				110				235	371	209.49	266.99	
MAP Protocol	VS_A	ADMI_406_M1				127				238	354	209.51	267.01	
MAP Protocol	VS_A	ADMI_406_M1				143				237	362	209.56	266.92	
MAP Protocol	VS_A	ADMI_406_M1				160				268	413	209.67	266.82	
MAP Protocol	VS_A	ADMI_406_M1				177				258	402	209.69	266.78	
MAP Protocol	VS_A	ADMI_406_M1				193				259	401	209.70	266.81	
MAP Protocol	VS_A	ADMI_406_M1				210				245	403	209.76	266.68	
MAP Protocol	VS_A	ADMI_406_M1				227				247	355	209.81	266.57	
MAP Protocol	VS_A	ADMI_406_M1				243				268	402	209.87	266.63	
MAP Protocol	VS_A	ADMI_406_M1				260				258	410	209.97	266.54	
MAP Protocol	VS_A	ADMI_406_M1				277				256	407	210.05	266.66	
MAP Protocol	VS_A	ADMI_406_M1				293				249	340	210.16	266.59	
MAP Protocol	VS_A	ADMI_406_M1				310				250	405	210.26	266.66	
MAP Protocol	VS_A	ADMI_406_M1				326				252	392	210.34	266.59	
MAP Protocol	VS_A	ADMI_406_M1				343				252	399	210.44	266.62	
MAP Protocol	VS_A	ADMI_406_M1				360				400	407	210.88	266.69	
MAP Protocol	VS_A	ADMI_406_M1				376				513	394	211.70	266.75	
MAP Protocol	VS_A	ADMI_406_M1				393				727	340	212.39	266.77	
MAP Protocol	VS_A	ADMI_406_M1				410				729	351	212.63	266.88	
MAP Protocol	VS_A	ADMI_406_M1				426				747	347	212.75	266.84	
MAP Protocol	VS_A	ADMI_406_M1				443				745	345	212.92	266.81	
MAP Protocol	VS_A	ADMI_406_M1				460				737	348	213.08	266.80	
MAP Protocol	VS_A	ADMI_406_M1				476				743	346	213.23	266.80	
MAP Protocol	VS_A	ADMI_406_M1				493				744	348	213.30	266.92	
MAP Protocol	VS_A	ADMI_406_M1				510				739	360	213.42	266.83	
MAP Protocol	VS_A	ADMI_406_M1				526				741	364	213.49	266.93	
MAP Protocol	VS_A	ADMI_406_M1				532	Instruction Element							
MAP Protocol	VS_A	ADMI_406_M1				543				740	355	213.60	266.82	
MAP Protocol	VS_A	ADMI_406_M1				560				743	381	213.71	266.75	
MAP Protocol	VS_A	ADMI_406_M1				576				723	333	213.75	266.91	
MAP Protocol	VS_A	ADMI_406_M1				593				721	342	213.90	266.68	
MAP Protocol	VS_A	ADMI_406_M1				610				723	335	213.93	266.80	
MAP Protocol	VS_A	ADMI_406_M1				626				716	331	214.05	266.68	
MAP Protocol	VS_A	ADMI_406_M1				643				731	344	214.09	266.71	
MAP Protocol	VS_A	ADMI_406_M1				660				715	338	214.13	266.72	
MAP Protocol	VS_A	ADMI_406_M1				676				721	339	214.19	266.69	
MAP Protocol	VS_A	ADMI_406_M1				693				729	335	214.24	266.67	
MAP Protocol	VS_A	ADMI_406_M1				710				729	344	214.26	266.67	
MAP Protocol	VS_A	ADMI_406_M1				726				724	338	214.28	266.66	
MAP Protocol	VS_A	ADMI_406_M1				743				722	332	214.33	266.69	
MAP Protocol	VS_A	ADMI_406_M1				760				729	336	214.40	266.62	
MAP Protocol	VS_A	ADMI_406_M1				776				730	348	214.42	266.65	
MAP Protocol	VS_A	ADMI_406_M1				793				740	337	214.44	266.64	
MAP Protocol	VS_A	ADMI_406_M1				810				728	335	214.46	266.62	
MAP Protocol	VS_A	ADMI_406_M1				826				726	337	214.43	266.61	
MAP Protocol	VS_A	ADMI_406_M1				843				663	400	214.39	266.43	
MAP Protocol	VS_A	ADMI_406_M1				859				680	395	214.41	266.43	
MAP Protocol	VS_A	ADMI_406_M1				876				672	389	214.43	266.45	
MAP Protocol	VS_A	ADMI_406_M1				893				687	405	214.45	266.53	
MAP Protocol	VS_A	ADMI_406_M1				909				678	397	214.57	266.33	
MAP Protocol	VS_A	ADMI_406_M1				926				676	395	214.61	266.40	
MAP Protocol	VS_A	ADMI_406_M1				943				685	401	214.67	266.45	
MAP Protocol	VS_A	ADMI_406_M1				959				679	389	214.76	266.24	
MAP Protocol	VS_A	ADMI_406_M1				976				678	387	214.77	266.41	
MAP Protocol	VS_A	ADMI_406_M1				993				680	389	214.78	266.45	
MAP Protocol	VS_A	ADMI_406_M1				1009				683	398	214.78	266.40	
MAP Protocol	VS_A	ADMI_406_M1				1026				683	391	214.77	266.29	
MAP Protocol	VS_A	ADMI_406_M1				1043				683	402	214.78	266.18	
MAP Protocol	VS_A	ADMI_406_M1				1059				685	419	214.74	266.07	
MAP Protocol	VS_A	ADMI_406_M1				1076				682	414	214.72	266.10	
MAP Protocol	VS_A	ADMI_406_M1				1093				689	413	214.69	266.10	
MAP Protocol	VS_A	ADMI_406_M1				1110				682	421	214.61	266.09	
MAP Protocol	VS_A	ADMI_406_M1				1126				693	414	214.55	266.08	
MAP Protocol	VS_A	ADMI_406_M1				1143				682	430	214.51	266.08	
MAP Protocol	VS_A	ADMI_406_M1				1160				682	407	214.44	266.07	
MAP Protocol	VS_A	ADMI_406_M1				1176				676	425	214.41	266.09	
MAP Protocol	VS_A	ADMI_406_M1				1193				685	413	214.36	266.07	
MAP Protocol	VS_A	ADMI_406_M1				1210				686	425	214.32	266.09	
MAP Protocol	VS_A	ADMI_406_M1				1226				683	404	214.31	266.07	
MAP Protocol	VS_A	ADMI_406_M1				1243				686	429	214.30	266.07	
