StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_B	ADMI_319_P1				44				97	296	183.51	158.02	
MAP Protocol	VS_B	ADMI_319_P1				60				93	287	182.99	158.01	
MAP Protocol	VS_B	ADMI_319_P1				77								
MAP Protocol	VS_B	ADMI_319_P1				94								
MAP Protocol	VS_B	ADMI_319_P1				110								
MAP Protocol	VS_B	ADMI_319_P1				127				93	296	180.85	158.19	
MAP Protocol	VS_B	ADMI_319_P1				144				114	291	180.35	158.10	
MAP Protocol	VS_B	ADMI_319_P1				160				99	286	179.84	158.04	
MAP Protocol	VS_B	ADMI_319_P1				177				97	286	179.31	158.00	
MAP Protocol	VS_B	ADMI_319_P1				194				107	288	178.79	158.05	
MAP Protocol	VS_B	ADMI_319_P1				210				95	295	178.31	158.05	
MAP Protocol	VS_B	ADMI_319_P1				227				99	287	177.81	158.07	
MAP Protocol	VS_B	ADMI_319_P1				244				95	286	177.34	158.19	
MAP Protocol	VS_B	ADMI_319_P1				260				108	285	176.90	158.23	
MAP Protocol	VS_B	ADMI_319_P1				277				98	297	176.48	158.32	
MAP Protocol	VS_B	ADMI_319_P1				293				112	283	176.06	158.40	
MAP Protocol	VS_B	ADMI_319_P1				310				105	284	175.69	158.29	
MAP Protocol	VS_B	ADMI_319_P1				327				104	291	175.33	158.23	
MAP Protocol	VS_B	ADMI_319_P1				343				117	297	174.98	158.14	
MAP Protocol	VS_B	ADMI_319_P1				360				103	301	174.68	158.10	
MAP Protocol	VS_B	ADMI_319_P1				377				103	288	174.36	158.06	
MAP Protocol	VS_B	ADMI_319_P1				393				101	276	174.08	158.03	
MAP Protocol	VS_B	ADMI_319_P1				410				103	279	173.82	158.01	
MAP Protocol	VS_B	ADMI_319_P1				427				85	286	173.57	157.98	
MAP Protocol	VS_B	ADMI_319_P1				443				89	287	173.33	157.97	
MAP Protocol	VS_B	ADMI_319_P1				460				100	289	173.10	157.95	
MAP Protocol	VS_B	ADMI_319_P1				477				106	293	173.40	156.12	
