StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_B	ADMI_434_M1				40				268	385	234.26	237.74	
MAP Protocol	VS_B	ADMI_434_M1				56				274	391	234.28	237.82	
MAP Protocol	VS_B	ADMI_434_M1				73				278	392	234.30	237.80	
MAP Protocol	VS_B	ADMI_434_M1				90				286	381	234.29	237.72	
MAP Protocol	VS_B	ADMI_434_M1				106				269	387	234.29	237.62	
MAP Protocol	VS_B	ADMI_434_M1				123				281	383	234.29	237.54	
MAP Protocol	VS_B	ADMI_434_M1				140				281	387	234.28	237.50	
MAP Protocol	VS_B	ADMI_434_M1				156				282	391	234.28	237.47	
MAP Protocol	VS_B	ADMI_434_M1				173				281	393	234.29	237.44	
MAP Protocol	VS_B	ADMI_434_M1				190				272	379	234.33	237.37	
MAP Protocol	VS_B	ADMI_434_M1				206				268	377	234.40	237.16	
MAP Protocol	VS_B	ADMI_434_M1				223				267	383	234.42	237.17	
MAP Protocol	VS_B	ADMI_434_M1				240				284	391	234.45	237.28	
MAP Protocol	VS_B	ADMI_434_M1				256				282	390	234.47	237.29	
MAP Protocol	VS_B	ADMI_434_M1				273				277	373	234.48	237.30	
MAP Protocol	VS_B	ADMI_434_M1				290				270	388	234.51	237.19	
MAP Protocol	VS_B	ADMI_434_M1				306				283	382	234.53	237.11	
MAP Protocol	VS_B	ADMI_434_M1				323				276	386	234.53	237.09	
MAP Protocol	VS_B	ADMI_434_M1				339				269	395	234.53	237.09	
MAP Protocol	VS_B	ADMI_434_M1				356				274	377	234.53	237.11	
MAP Protocol	VS_B	ADMI_434_M1				373				306	390	234.72	237.07	
MAP Protocol	VS_B	ADMI_434_M1				389				462	435	235.27	236.94	
MAP Protocol	VS_B	ADMI_434_M1				406				654	470	235.86	236.74	
MAP Protocol	VS_B	ADMI_434_M1				423				802	500	236.29	236.66	
MAP Protocol	VS_B	ADMI_434_M1				439				850	543	236.49	236.54	
MAP Protocol	VS_B	ADMI_434_M1				456				846	525	236.47	236.42	
MAP Protocol	VS_B	ADMI_434_M1				473				846	535	236.47	236.41	
MAP Protocol	VS_B	ADMI_434_M1				489				844	533	236.46	236.42	
MAP Protocol	VS_B	ADMI_434_M1				506				852	523	236.45	236.39	
MAP Protocol	VS_B	ADMI_434_M1				523				855	519	236.44	236.43	
MAP Protocol	VS_B	ADMI_434_M1				539				834	530	236.43	236.51	
MAP Protocol	VS_B	ADMI_434_M1				556				863	535	236.47	236.43	
MAP Protocol	VS_B	ADMI_434_M1				573				866	596	236.54	236.23	
MAP Protocol	VS_B	ADMI_434_M1				589				871	609	236.44	236.31	
MAP Protocol	VS_B	ADMI_434_M1				606				837	595	236.42	236.29	
MAP Protocol	VS_B	ADMI_434_M1				623				858	581	236.41	236.28	
MAP Protocol	VS_B	ADMI_434_M1				639				838	593	236.40	236.04	
MAP Protocol	VS_B	ADMI_434_M1				641	Instruction Element							
MAP Protocol	VS_B	ADMI_434_M1				656				852	603	236.33	235.87	
MAP Protocol	VS_B	ADMI_434_M1				673				866	593	236.27	235.90	
MAP Protocol	VS_B	ADMI_434_M1				689				842	604	236.25	235.80	
MAP Protocol	VS_B	ADMI_434_M1				706				846	581	236.22	235.78	
MAP Protocol	VS_B	ADMI_434_M1				723				847	593	236.16	235.82	
MAP Protocol	VS_B	ADMI_434_M1				740				855	586	236.11	235.86	
MAP Protocol	VS_B	ADMI_434_M1				756				838	589	236.06	235.94	
MAP Protocol	VS_B	ADMI_434_M1				773				844	587	236.02	236.00	
