StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_B	ADMI_535_M1				56				844	623	241.26	263.13	
MAP Protocol	VS_B	ADMI_535_M1				72				841	623	241.21	263.15	
MAP Protocol	VS_B	ADMI_535_M1				89				844	618	241.16	263.14	
MAP Protocol	VS_B	ADMI_535_M1				106				841	619	241.17	263.16	
MAP Protocol	VS_B	ADMI_535_M1				122				840	621	241.17	263.18	
MAP Protocol	VS_B	ADMI_535_M1				139				839	620	241.18	263.19	
MAP Protocol	VS_B	ADMI_535_M1				156				834	694	241.26	263.24	
MAP Protocol	VS_B	ADMI_535_M1				172				817	896			
MAP Protocol	VS_B	ADMI_535_M1				189								
MAP Protocol	VS_B	ADMI_535_M1				206								
MAP Protocol	VS_B	ADMI_535_M1				222								
MAP Protocol	VS_B	ADMI_535_M1				239								
MAP Protocol	VS_B	ADMI_535_M1				256								
MAP Protocol	VS_B	ADMI_535_M1				272								
MAP Protocol	VS_B	ADMI_535_M1				289								
MAP Protocol	VS_B	ADMI_535_M1				306								
MAP Protocol	VS_B	ADMI_535_M1				322								
MAP Protocol	VS_B	ADMI_535_M1				339								
MAP Protocol	VS_B	ADMI_535_M1				355								
MAP Protocol	VS_B	ADMI_535_M1				372								
MAP Protocol	VS_B	ADMI_535_M1				389								
MAP Protocol	VS_B	ADMI_535_M1				405								
MAP Protocol	VS_B	ADMI_535_M1				422				701	382	240.55	264.26	
MAP Protocol	VS_B	ADMI_535_M1				439								
MAP Protocol	VS_B	ADMI_535_M1				455								
MAP Protocol	VS_B	ADMI_535_M1				472								
MAP Protocol	VS_B	ADMI_535_M1				489				707	380	240.70	266.97	
MAP Protocol	VS_B	ADMI_535_M1				505				707	383			
MAP Protocol	VS_B	ADMI_535_M1				522				711	375	240.21	269.86	
MAP Protocol	VS_B	ADMI_535_M1				539				713	390	240.51	264.26	
MAP Protocol	VS_B	ADMI_535_M1				555				705	381	240.90	270.55	
MAP Protocol	VS_B	ADMI_535_M1				572				707	391			
MAP Protocol	VS_B	ADMI_535_M1				589				698	353	239.45	281.99	
MAP Protocol	VS_B	ADMI_535_M1				605				714	375	240.92	272.04	
MAP Protocol	VS_B	ADMI_535_M1				614	Instruction Element							
MAP Protocol	VS_B	ADMI_535_M1				622				716	380	240.79	269.90	
MAP Protocol	VS_B	ADMI_535_M1				639				709	369	240.79	269.85	
MAP Protocol	VS_B	ADMI_535_M1				655				710	369	240.79	269.84	
MAP Protocol	VS_B	ADMI_535_M1				672				701	384	240.47	264.20	
MAP Protocol	VS_B	ADMI_535_M1				689				699	387	240.45	264.23	
MAP Protocol	VS_B	ADMI_535_M1				705				696	384	240.42	264.29	
MAP Protocol	VS_B	ADMI_535_M1				722				696	384	240.40	264.28	
MAP Protocol	VS_B	ADMI_535_M1				739				702	377	240.38	264.27	
MAP Protocol	VS_B	ADMI_535_M1				755				704	381	240.36	264.27	
MAP Protocol	VS_B	ADMI_535_M1				772				700	386	240.35	264.39	
MAP Protocol	VS_B	ADMI_535_M1				788				700	386	240.35	264.37	
MAP Protocol	VS_B	ADMI_535_M1				805				703	378	240.37	264.30	
MAP Protocol	VS_B	ADMI_535_M1				822				705	378	240.38	264.30	
MAP Protocol	VS_B	ADMI_535_M1				838				699	383	240.39	264.29	
MAP Protocol	VS_B	ADMI_535_M1				855				698	383	240.39	264.27	
MAP Protocol	VS_B	ADMI_535_M1				872				700	380	240.39	264.26	
MAP Protocol	VS_B	ADMI_535_M1				888				698	385	240.37	264.30	
MAP Protocol	VS_B	ADMI_535_M1				905				699	382	240.35	264.32	
MAP Protocol	VS_B	ADMI_535_M1				922				697	384	240.35	264.28	
MAP Protocol	VS_B	ADMI_535_M1				938				698	386	240.34	264.29	
MAP Protocol	VS_B	ADMI_535_M1				955				697	388	240.35	264.30	
MAP Protocol	VS_B	ADMI_535_M1				972				702	384	240.35	264.24	
MAP Protocol	VS_B	ADMI_535_M1				988				704	383	240.32	264.21	
MAP Protocol	VS_B	ADMI_535_M1				1005				654	415	240.24	264.18	
MAP Protocol	VS_B	ADMI_535_M1				1022				668	403	240.22	264.16	
MAP Protocol	VS_B	ADMI_535_M1				1038				666	406	240.20	264.16	
MAP Protocol	VS_B	ADMI_535_M1				1055				670	408	240.14	264.24	
