StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_A	ADMI_352_P1				27				223	364	228.75	191.57	
MAP Protocol	VS_A	ADMI_352_P1				44				232	366	228.14	191.53	
MAP Protocol	VS_A	ADMI_352_P1				60								
MAP Protocol	VS_A	ADMI_352_P1				77								
MAP Protocol	VS_A	ADMI_352_P1				94								
MAP Protocol	VS_A	ADMI_352_P1				110								
MAP Protocol	VS_A	ADMI_352_P1				127								
MAP Protocol	VS_A	ADMI_352_P1				144								
MAP Protocol	VS_A	ADMI_352_P1				160								
MAP Protocol	VS_A	ADMI_352_P1				177								
MAP Protocol	VS_A	ADMI_352_P1				194								
MAP Protocol	VS_A	ADMI_352_P1				210								
MAP Protocol	VS_A	ADMI_352_P1				227								
MAP Protocol	VS_A	ADMI_352_P1				244								
MAP Protocol	VS_A	ADMI_352_P1				260								
MAP Protocol	VS_A	ADMI_352_P1				277								
MAP Protocol	VS_A	ADMI_352_P1				294								
MAP Protocol	VS_A	ADMI_352_P1				310								
MAP Protocol	VS_A	ADMI_352_P1				327								
MAP Protocol	VS_A	ADMI_352_P1				344								
MAP Protocol	VS_A	ADMI_352_P1				360								
MAP Protocol	VS_A	ADMI_352_P1				377								
MAP Protocol	VS_A	ADMI_352_P1				394								
MAP Protocol	VS_A	ADMI_352_P1				410								
MAP Protocol	VS_A	ADMI_352_P1				427								
MAP Protocol	VS_A	ADMI_352_P1				444								
MAP Protocol	VS_A	ADMI_352_P1				460								
MAP Protocol	VS_A	ADMI_352_P1				477								
MAP Protocol	VS_A	ADMI_352_P1				493								
MAP Protocol	VS_A	ADMI_352_P1				510								
MAP Protocol	VS_A	ADMI_352_P1				527								
MAP Protocol	VS_A	ADMI_352_P1				543								
