StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_A	ADMI_350_P1				42								
MAP Protocol	VS_A	ADMI_350_P1				57								
MAP Protocol	VS_A	ADMI_350_P1				73								
MAP Protocol	VS_A	ADMI_350_P1				90								
MAP Protocol	VS_A	ADMI_350_P1				107								
MAP Protocol	VS_A	ADMI_350_P1				123								
MAP Protocol	VS_A	ADMI_350_P1				140								
MAP Protocol	VS_A	ADMI_350_P1				157								
MAP Protocol	VS_A	ADMI_350_P1				174								
MAP Protocol	VS_A	ADMI_350_P1				192								
MAP Protocol	VS_A	ADMI_350_P1				207								
MAP Protocol	VS_A	ADMI_350_P1				223								
MAP Protocol	VS_A	ADMI_350_P1				240								
MAP Protocol	VS_A	ADMI_350_P1				256								
MAP Protocol	VS_A	ADMI_350_P1				273								
MAP Protocol	VS_A	ADMI_350_P1				290								
MAP Protocol	VS_A	ADMI_350_P1				307								
MAP Protocol	VS_A	ADMI_350_P1				324								
MAP Protocol	VS_A	ADMI_350_P1				342								
MAP Protocol	VS_A	ADMI_350_P1				356								
MAP Protocol	VS_A	ADMI_350_P1				373								
MAP Protocol	VS_A	ADMI_350_P1				390								
MAP Protocol	VS_A	ADMI_350_P1				406								
MAP Protocol	VS_A	ADMI_350_P1				423								
MAP Protocol	VS_A	ADMI_350_P1				440								
MAP Protocol	VS_A	ADMI_350_P1				457								
MAP Protocol	VS_A	ADMI_350_P1				474								
MAP Protocol	VS_A	ADMI_350_P1				492								
MAP Protocol	VS_A	ADMI_350_P1				506								
MAP Protocol	VS_A	ADMI_350_P1				523								
MAP Protocol	VS_A	ADMI_350_P1				540								
MAP Protocol	VS_A	ADMI_350_P1				556								
MAP Protocol	VS_A	ADMI_350_P1				559	Instruction Element							
MAP Protocol	VS_A	ADMI_350_P1				573								
MAP Protocol	VS_A	ADMI_350_P1				590								
MAP Protocol	VS_A	ADMI_350_P1				607								
MAP Protocol	VS_A	ADMI_350_P1				624								
MAP Protocol	VS_A	ADMI_350_P1				641								
MAP Protocol	VS_A	ADMI_350_P1				656								
MAP Protocol	VS_A	ADMI_350_P1				673								
MAP Protocol	VS_A	ADMI_350_P1				690								
MAP Protocol	VS_A	ADMI_350_P1				706								
MAP Protocol	VS_A	ADMI_350_P1				723								
MAP Protocol	VS_A	ADMI_350_P1				739								
MAP Protocol	VS_A	ADMI_350_P1				757								
MAP Protocol	VS_A	ADMI_350_P1				774								
MAP Protocol	VS_A	ADMI_350_P1				791								
MAP Protocol	VS_A	ADMI_350_P1				806								
MAP Protocol	VS_A	ADMI_350_P1				823								
MAP Protocol	VS_A	ADMI_350_P1				839								
MAP Protocol	VS_A	ADMI_350_P1				856								
MAP Protocol	VS_A	ADMI_350_P1				873								
MAP Protocol	VS_A	ADMI_350_P1				889								
MAP Protocol	VS_A	ADMI_350_P1				906								
MAP Protocol	VS_A	ADMI_350_P1				924								
MAP Protocol	VS_A	ADMI_350_P1				941								
MAP Protocol	VS_A	ADMI_350_P1				956								
MAP Protocol	VS_A	ADMI_350_P1				973								
MAP Protocol	VS_A	ADMI_350_P1				989								
MAP Protocol	VS_A	ADMI_350_P1				1006								
MAP Protocol	VS_A	ADMI_350_P1				1023								
MAP Protocol	VS_A	ADMI_350_P1				1039								
MAP Protocol	VS_A	ADMI_350_P1				1056								
MAP Protocol	VS_A	ADMI_350_P1				1074								
MAP Protocol	VS_A	ADMI_350_P1				1089								
MAP Protocol	VS_A	ADMI_350_P1				1106								
MAP Protocol	VS_A	ADMI_350_P1				1122								
MAP Protocol	VS_A	ADMI_350_P1				1139								
MAP Protocol	VS_A	ADMI_350_P1				1156								
MAP Protocol	VS_A	ADMI_350_P1				1172								
MAP Protocol	VS_A	ADMI_350_P1				1189								
MAP Protocol	VS_A	ADMI_350_P1				1206								
MAP Protocol	VS_A	ADMI_350_P1				1222								
MAP Protocol	VS_A	ADMI_350_P1				1239								
MAP Protocol	VS_A	ADMI_350_P1				1256								
MAP Protocol	VS_A	ADMI_350_P1				1272								
MAP Protocol	VS_A	ADMI_350_P1				1289								
MAP Protocol	VS_A	ADMI_350_P1				1306								
MAP Protocol	VS_A	ADMI_350_P1				1322								
MAP Protocol	VS_A	ADMI_350_P1				1339								
MAP Protocol	VS_A	ADMI_350_P1				1356								
MAP Protocol	VS_A	ADMI_350_P1				1372								
MAP Protocol	VS_A	ADMI_350_P1				1389								
MAP Protocol	VS_A	ADMI_350_P1				1406								
MAP Protocol	VS_A	ADMI_350_P1				1422								
MAP Protocol	VS_A	ADMI_350_P1				1439								
MAP Protocol	VS_A	ADMI_350_P1				1456								
MAP Protocol	VS_A	ADMI_350_P1				1473								
MAP Protocol	VS_A	ADMI_350_P1				1491								
MAP Protocol	VS_A	ADMI_350_P1				1506								
MAP Protocol	VS_A	ADMI_350_P1				1522								
MAP Protocol	VS_A	ADMI_350_P1				1539								
MAP Protocol	VS_A	ADMI_350_P1				1555								
MAP Protocol	VS_A	ADMI_350_P1				1572								
MAP Protocol	VS_A	ADMI_350_P1				1589								
MAP Protocol	VS_A	ADMI_350_P1				1606								
MAP Protocol	VS_A	ADMI_350_P1				1623								
MAP Protocol	VS_A	ADMI_350_P1				1641								
MAP Protocol	VS_A	ADMI_350_P1				1655								
MAP Protocol	VS_A	ADMI_350_P1				1672								
MAP Protocol	VS_A	ADMI_350_P1				1689								
MAP Protocol	VS_A	ADMI_350_P1				1705								
MAP Protocol	VS_A	ADMI_350_P1				1722								
MAP Protocol	VS_A	ADMI_350_P1				1739								
MAP Protocol	VS_A	ADMI_350_P1				1756								
MAP Protocol	VS_A	ADMI_350_P1				1773								
MAP Protocol	VS_A	ADMI_350_P1				1791								
MAP Protocol	VS_A	ADMI_350_P1				1805								
MAP Protocol	VS_A	ADMI_350_P1				1822								
MAP Protocol	VS_A	ADMI_350_P1				1839								
MAP Protocol	VS_A	ADMI_350_P1				1855								
MAP Protocol	VS_A	ADMI_350_P1				1872								
MAP Protocol	VS_A	ADMI_350_P1				1889								
MAP Protocol	VS_A	ADMI_350_P1				1906								
MAP Protocol	VS_A	ADMI_350_P1				1923								
MAP Protocol	VS_A	ADMI_350_P1				1940								
MAP Protocol	VS_A	ADMI_350_P1				1955								
MAP Protocol	VS_A	ADMI_350_P1				1972								
MAP Protocol	VS_A	ADMI_350_P1				1989								
MAP Protocol	VS_A	ADMI_350_P1				2005								
MAP Protocol	VS_A	ADMI_350_P1				2022								
MAP Protocol	VS_A	ADMI_350_P1				2038								
MAP Protocol	VS_A	ADMI_350_P1				2056								
MAP Protocol	VS_A	ADMI_350_P1				2073								
MAP Protocol	VS_A	ADMI_350_P1				2090								
MAP Protocol	VS_A	ADMI_350_P1				2105								
MAP Protocol	VS_A	ADMI_350_P1				2122								
MAP Protocol	VS_A	ADMI_350_P1				2138								
MAP Protocol	VS_A	ADMI_350_P1				2155								
MAP Protocol	VS_A	ADMI_350_P1				2172								
MAP Protocol	VS_A	ADMI_350_P1				2188								
MAP Protocol	VS_A	ADMI_350_P1				2206								
MAP Protocol	VS_A	ADMI_350_P1				2223								
MAP Protocol	VS_A	ADMI_350_P1				2240								
MAP Protocol	VS_A	ADMI_350_P1				2255								
MAP Protocol	VS_A	ADMI_350_P1				2272								
MAP Protocol	VS_A	ADMI_350_P1				2288								
MAP Protocol	VS_A	ADMI_350_P1				2305								
MAP Protocol	VS_A	ADMI_350_P1				2322								
MAP Protocol	VS_A	ADMI_350_P1				2338								
MAP Protocol	VS_A	ADMI_350_P1				2355								
MAP Protocol	VS_A	ADMI_350_P1				2373								
MAP Protocol	VS_A	ADMI_350_P1				2390								
MAP Protocol	VS_A	ADMI_350_P1				2405								
MAP Protocol	VS_A	ADMI_350_P1				2421								
MAP Protocol	VS_A	ADMI_350_P1				2438								
MAP Protocol	VS_A	ADMI_350_P1				2455								
MAP Protocol	VS_A	ADMI_350_P1				2471								
MAP Protocol	VS_A	ADMI_350_P1				2488								
MAP Protocol	VS_A	ADMI_350_P1				2505								
MAP Protocol	VS_A	ADMI_350_P1				2523								
MAP Protocol	VS_A	ADMI_350_P1				2540								
MAP Protocol	VS_A	ADMI_350_P1				2555								
MAP Protocol	VS_A	ADMI_350_P1				2571								
MAP Protocol	VS_A	ADMI_350_P1				2588								
MAP Protocol	VS_A	ADMI_350_P1				2605								
MAP Protocol	VS_A	ADMI_350_P1				2621								
MAP Protocol	VS_A	ADMI_350_P1				2638								
MAP Protocol	VS_A	ADMI_350_P1				2655								
MAP Protocol	VS_A	ADMI_350_P1				2673								
MAP Protocol	VS_A	ADMI_350_P1				2690								
MAP Protocol	VS_A	ADMI_350_P1				2705								
MAP Protocol	VS_A	ADMI_350_P1				2721								
MAP Protocol	VS_A	ADMI_350_P1				2738								
MAP Protocol	VS_A	ADMI_350_P1				2755								
MAP Protocol	VS_A	ADMI_350_P1				2771								
MAP Protocol	VS_A	ADMI_350_P1				2788								
MAP Protocol	VS_A	ADMI_350_P1				2805								
MAP Protocol	VS_A	ADMI_350_P1				2822								
MAP Protocol	VS_A	ADMI_350_P1				2840								
MAP Protocol	VS_A	ADMI_350_P1				2855								
MAP Protocol	VS_A	ADMI_350_P1				2871								
MAP Protocol	VS_A	ADMI_350_P1				2888								
MAP Protocol	VS_A	ADMI_350_P1				2904								
MAP Protocol	VS_A	ADMI_350_P1				2921								
MAP Protocol	VS_A	ADMI_350_P1				2938								
MAP Protocol	VS_A	ADMI_350_P1				2955								
MAP Protocol	VS_A	ADMI_350_P1				2972								
MAP Protocol	VS_A	ADMI_350_P1				2989								
MAP Protocol	VS_A	ADMI_350_P1				3007								
MAP Protocol	VS_A	ADMI_350_P1				3021								
MAP Protocol	VS_A	ADMI_350_P1				3038								
MAP Protocol	VS_A	ADMI_350_P1				3055								
MAP Protocol	VS_A	ADMI_350_P1				3071								
MAP Protocol	VS_A	ADMI_350_P1				3088								
MAP Protocol	VS_A	ADMI_350_P1				3105								
MAP Protocol	VS_A	ADMI_350_P1				3122								
MAP Protocol	VS_A	ADMI_350_P1				3139								
MAP Protocol	VS_A	ADMI_350_P1				3156								
MAP Protocol	VS_A	ADMI_350_P1				3171								
MAP Protocol	VS_A	ADMI_350_P1				3188								
MAP Protocol	VS_A	ADMI_350_P1				3205								
MAP Protocol	VS_A	ADMI_350_P1				3221								
MAP Protocol	VS_A	ADMI_350_P1				3238								
MAP Protocol	VS_A	ADMI_350_P1				3254								
MAP Protocol	VS_A	ADMI_350_P1				3272								
MAP Protocol	VS_A	ADMI_350_P1				3289								
MAP Protocol	VS_A	ADMI_350_P1				3306								
MAP Protocol	VS_A	ADMI_350_P1				3321								
MAP Protocol	VS_A	ADMI_350_P1				3338								
MAP Protocol	VS_A	ADMI_350_P1				3354								
MAP Protocol	VS_A	ADMI_350_P1				3371								
MAP Protocol	VS_A	ADMI_350_P1				3388								
MAP Protocol	VS_A	ADMI_350_P1				3404								
MAP Protocol	VS_A	ADMI_350_P1				3422								
MAP Protocol	VS_A	ADMI_350_P1				3439								
MAP Protocol	VS_A	ADMI_350_P1				3456								
MAP Protocol	VS_A	ADMI_350_P1				3471								
MAP Protocol	VS_A	ADMI_350_P1				3488								
MAP Protocol	VS_A	ADMI_350_P1				3504								
MAP Protocol	VS_A	ADMI_350_P1				3521								
MAP Protocol	VS_A	ADMI_350_P1				3538								
MAP Protocol	VS_A	ADMI_350_P1				3554								
MAP Protocol	VS_A	ADMI_350_P1				3566	Instruction Element							
MAP Protocol	VS_A	ADMI_350_P1				3571								
MAP Protocol	VS_A	ADMI_350_P1				3589								
MAP Protocol	VS_A	ADMI_350_P1				3606								
MAP Protocol	VS_A	ADMI_350_P1				3621								
MAP Protocol	VS_A	ADMI_350_P1				3637								
MAP Protocol	VS_A	ADMI_350_P1				3654								
MAP Protocol	VS_A	ADMI_350_P1				3671								
MAP Protocol	VS_A	ADMI_350_P1				3687								
MAP Protocol	VS_A	ADMI_350_P1				3704								
MAP Protocol	VS_A	ADMI_350_P1				3721								
MAP Protocol	VS_A	ADMI_350_P1				3739								
MAP Protocol	VS_A	ADMI_350_P1				3756								
MAP Protocol	VS_A	ADMI_350_P1				3771								
MAP Protocol	VS_A	ADMI_350_P1				3787								
MAP Protocol	VS_A	ADMI_350_P1				3804								
MAP Protocol	VS_A	ADMI_350_P1				3821								
MAP Protocol	VS_A	ADMI_350_P1				3837								
MAP Protocol	VS_A	ADMI_350_P1				3854								
MAP Protocol	VS_A	ADMI_350_P1				3871								
MAP Protocol	VS_A	ADMI_350_P1				3889								
MAP Protocol	VS_A	ADMI_350_P1				3906								
MAP Protocol	VS_A	ADMI_350_P1				3921								
MAP Protocol	VS_A	ADMI_350_P1				3937								
MAP Protocol	VS_A	ADMI_350_P1				3954								
