StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_A	ADMI_352_M1				30								
MAP Protocol	VS_A	ADMI_352_M1				46								
MAP Protocol	VS_A	ADMI_352_M1				63								
MAP Protocol	VS_A	ADMI_352_M1				80								
MAP Protocol	VS_A	ADMI_352_M1				96								
MAP Protocol	VS_A	ADMI_352_M1				113								
MAP Protocol	VS_A	ADMI_352_M1				130								
MAP Protocol	VS_A	ADMI_352_M1				146								
MAP Protocol	VS_A	ADMI_352_M1				163								
MAP Protocol	VS_A	ADMI_352_M1				179								
MAP Protocol	VS_A	ADMI_352_M1				196								
MAP Protocol	VS_A	ADMI_352_M1				213								
MAP Protocol	VS_A	ADMI_352_M1				230								
MAP Protocol	VS_A	ADMI_352_M1				246								
MAP Protocol	VS_A	ADMI_352_M1				263				682	436	229.92	275.11	
MAP Protocol	VS_A	ADMI_352_M1				280								
MAP Protocol	VS_A	ADMI_352_M1				296								
MAP Protocol	VS_A	ADMI_352_M1				313				684	423	229.96	274.83	
MAP Protocol	VS_A	ADMI_352_M1				329				682	417	229.96	274.82	
MAP Protocol	VS_A	ADMI_352_M1				346				687	420	229.97	274.77	
MAP Protocol	VS_A	ADMI_352_M1				363				687	420	229.99	274.76	
MAP Protocol	VS_A	ADMI_352_M1				379				777	499	230.32	274.61	
MAP Protocol	VS_A	ADMI_352_M1				396				802	568	230.58	274.36	
MAP Protocol	VS_A	ADMI_352_M1				413				802	553	230.56	274.33	
MAP Protocol	VS_A	ADMI_352_M1				430				786	558	230.60	274.35	
MAP Protocol	VS_A	ADMI_352_M1				446				803	549	230.62	274.37	
MAP Protocol	VS_A	ADMI_352_M1				463				798	566	230.63	274.38	
MAP Protocol	VS_A	ADMI_352_M1				480				794	564	230.69	274.41	
MAP Protocol	VS_A	ADMI_352_M1				496				797	572	230.74	274.44	
MAP Protocol	VS_A	ADMI_352_M1				513				797	563	230.82	274.44	
MAP Protocol	VS_A	ADMI_352_M1				530				844	655	231.05	274.15	
MAP Protocol	VS_A	ADMI_352_M1				546				824	641	231.15	274.23	
MAP Protocol	VS_A	ADMI_352_M1				557	Instruction Element							
MAP Protocol	VS_A	ADMI_352_M1				563				830	648	231.25	274.18	
MAP Protocol	VS_A	ADMI_352_M1				580				820	648	231.35	274.16	
MAP Protocol	VS_A	ADMI_352_M1				596				829	652	231.50	274.08	
MAP Protocol	VS_A	ADMI_352_M1				613				827	649	231.65	274.02	
MAP Protocol	VS_A	ADMI_352_M1				630				829	653	231.75	274.12	
MAP Protocol	VS_A	ADMI_352_M1				646				824	651	231.90	274.15	
MAP Protocol	VS_A	ADMI_352_M1				663				818	652	232.05	274.00	
MAP Protocol	VS_A	ADMI_352_M1				679				827	649	232.15	274.07	
MAP Protocol	VS_A	ADMI_352_M1				696				827	650	232.27	274.17	
MAP Protocol	VS_A	ADMI_352_M1				713				823	641	232.41	274.07	
MAP Protocol	VS_A	ADMI_352_M1				729				824	647	232.50	274.21	
MAP Protocol	VS_A	ADMI_352_M1				746				827	641	232.64	274.18	
MAP Protocol	VS_A	ADMI_352_M1				762								
MAP Protocol	VS_A	ADMI_352_M1				779								
MAP Protocol	VS_A	ADMI_352_M1				796				824	648	232.97	273.53	
MAP Protocol	VS_A	ADMI_352_M1				812				831	644	233.05	274.35	
MAP Protocol	VS_A	ADMI_352_M1				829				827	644	233.18	274.17	
MAP Protocol	VS_A	ADMI_352_M1				846				825	637	233.26	274.39	
MAP Protocol	VS_A	ADMI_352_M1				862				832	643	233.37	274.26	
MAP Protocol	VS_A	ADMI_352_M1				879				826	637	233.49	274.37	
MAP Protocol	VS_A	ADMI_352_M1				896				830	648	233.59	274.31	
MAP Protocol	VS_A	ADMI_352_M1				912				831	644	233.73	274.30	
MAP Protocol	VS_A	ADMI_352_M1				929				829	645	233.84	274.34	
MAP Protocol	VS_A	ADMI_352_M1				946				827	648	233.94	274.30	
MAP Protocol	VS_A	ADMI_352_M1				962				834	641	234.11	274.26	
MAP Protocol	VS_A	ADMI_352_M1				979				819	649	234.20	274.28	
MAP Protocol	VS_A	ADMI_352_M1				996				822	644	234.32	274.27	
MAP Protocol	VS_A	ADMI_352_M1				1013				821	646	234.40	274.28	
MAP Protocol	VS_A	ADMI_352_M1				1029				816	647	234.49	274.29	
MAP Protocol	VS_A	ADMI_352_M1				1046				819	650	234.57	274.29	
MAP Protocol	VS_A	ADMI_352_M1				1062				930	774	235.01	274.00	
MAP Protocol	VS_A	ADMI_352_M1				1079				980	826	235.28	273.78	
MAP Protocol	VS_A	ADMI_352_M1				1096				959	814	235.30	273.80	
MAP Protocol	VS_A	ADMI_352_M1				1112				968	820	235.30	273.78	
MAP Protocol	VS_A	ADMI_352_M1				1129				974	818	235.30	273.76	
MAP Protocol	VS_A	ADMI_352_M1				1146				968	825	235.30	273.64	
MAP Protocol	VS_A	ADMI_352_M1				1162				977	822	235.30	273.58	
MAP Protocol	VS_A	ADMI_352_M1				1179				969	826	235.27	273.51	
MAP Protocol	VS_A	ADMI_352_M1				1196				967	822	235.25	273.55	
MAP Protocol	VS_A	ADMI_352_M1				1212				974	817	235.19	273.46	
MAP Protocol	VS_A	ADMI_352_M1				1229				973	818	235.11	273.60	
MAP Protocol	VS_A	ADMI_352_M1				1246				965	823	235.07	273.54	
MAP Protocol	VS_A	ADMI_352_M1				1262				973	821	235.03	273.49	
MAP Protocol	VS_A	ADMI_352_M1				1279				971	823	234.98	273.48	
MAP Protocol	VS_A	ADMI_352_M1				1296				972	814	234.90	273.55	
MAP Protocol	VS_A	ADMI_352_M1				1312				976	824	234.85	273.48	
MAP Protocol	VS_A	ADMI_352_M1				1329				981	881	234.86	273.40	
MAP Protocol	VS_A	ADMI_352_M1				1346				976	861	234.77	273.41	
MAP Protocol	VS_A	ADMI_352_M1				1362				966	866	234.70	273.47	
MAP Protocol	VS_A	ADMI_352_M1				1379				988	853	234.62	273.41	
MAP Protocol	VS_A	ADMI_352_M1				1396				973	860	234.54	273.41	
MAP Protocol	VS_A	ADMI_352_M1				1412				984	862	234.45	273.41	
MAP Protocol	VS_A	ADMI_352_M1				1429								
MAP Protocol	VS_A	ADMI_352_M1				1446								
MAP Protocol	VS_A	ADMI_352_M1				1462				982	856	234.24	273.15	
MAP Protocol	VS_A	ADMI_352_M1				1479				987	851	234.13	273.27	
MAP Protocol	VS_A	ADMI_352_M1				1495				956	845	233.96	273.28	
MAP Protocol	VS_A	ADMI_352_M1				1512				819	628	233.66	273.89	
MAP Protocol	VS_A	ADMI_352_M1				1529				733	465	233.39	274.48	
MAP Protocol	VS_A	ADMI_352_M1				1545				679	381	233.18	274.65	
MAP Protocol	VS_A	ADMI_352_M1				1562				694	390	233.02	274.56	
MAP Protocol	VS_A	ADMI_352_M1				1579				688	384	232.97	274.60	
MAP Protocol	VS_A	ADMI_352_M1				1595				689	384	232.86	274.76	
MAP Protocol	VS_A	ADMI_352_M1				1612				685	382	232.81	274.70	
MAP Protocol	VS_A	ADMI_352_M1				1629				702	390	232.74	274.69	
MAP Protocol	VS_A	ADMI_352_M1				1645				687	381	232.68	274.75	
MAP Protocol	VS_A	ADMI_352_M1				1662				687	379	232.64	274.62	
MAP Protocol	VS_A	ADMI_352_M1				1679				689	383	232.57	274.69	
MAP Protocol	VS_A	ADMI_352_M1				1695				686	382	232.53	274.60	
MAP Protocol	VS_A	ADMI_352_M1				1712				686	382	232.49	274.60	
MAP Protocol	VS_A	ADMI_352_M1				1729				686	385	232.44	274.67	
MAP Protocol	VS_A	ADMI_352_M1				1745				682	413	232.41	274.52	
MAP Protocol	VS_A	ADMI_352_M1				1762				688	411	232.37	274.52	
MAP Protocol	VS_A	ADMI_352_M1				1779				689	412	232.32	274.46	
MAP Protocol	VS_A	ADMI_352_M1				1795				683	412	232.28	274.58	
MAP Protocol	VS_A	ADMI_352_M1				1812				680	410	232.22	274.52	
MAP Protocol	VS_A	ADMI_352_M1				1829				684	410	232.18	274.59	
MAP Protocol	VS_A	ADMI_352_M1				1845				681	412	232.14	274.61	
MAP Protocol	VS_A	ADMI_352_M1				1862				685	409	232.09	274.64	
MAP Protocol	VS_A	ADMI_352_M1				1879				682	411	232.04	274.61	
MAP Protocol	VS_A	ADMI_352_M1				1895				679	407	232.01	274.53	
MAP Protocol	VS_A	ADMI_352_M1				1912				680	412	231.99	274.61	
MAP Protocol	VS_A	ADMI_352_M1				1929				681	411	231.97	274.60	
MAP Protocol	VS_A	ADMI_352_M1				1945				679	409	231.94	274.60	
