StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_A	ADMI_560_F1				48				674	443	217.71	216.14	
MAP Protocol	VS_A	ADMI_560_F1				65				679	443	217.67	216.84	
MAP Protocol	VS_A	ADMI_560_F1				82				722	485	217.85	216.85	
MAP Protocol	VS_A	ADMI_560_F1				98				769	532	217.51	216.84	
MAP Protocol	VS_A	ADMI_560_F1				115				767	526	218.10	216.71	
MAP Protocol	VS_A	ADMI_560_F1				132				768	524	217.51	216.75	
MAP Protocol	VS_A	ADMI_560_F1				148				783	522			
MAP Protocol	VS_A	ADMI_560_F1				165				761	536	217.51	216.80	
MAP Protocol	VS_A	ADMI_560_F1				182				766	535	218.13	216.76	
MAP Protocol	VS_A	ADMI_560_F1				198				768	533	217.57	216.81	
MAP Protocol	VS_A	ADMI_560_F1				215				768	537	218.27	212.69	
MAP Protocol	VS_A	ADMI_560_F1				232				767	535	218.29	212.68	
MAP Protocol	VS_A	ADMI_560_F1				248				769	540	218.31	212.70	
MAP Protocol	VS_A	ADMI_560_F1				265				772	540	218.34	212.70	
MAP Protocol	VS_A	ADMI_560_F1				282				765	544	218.40	212.67	
MAP Protocol	VS_A	ADMI_560_F1				298				775	549	218.46	212.66	
MAP Protocol	VS_A	ADMI_560_F1				315				774	540	218.52	212.66	
MAP Protocol	VS_A	ADMI_560_F1				332				770	545	218.59	212.67	
MAP Protocol	VS_A	ADMI_560_F1				348				766	543	218.63	212.73	
MAP Protocol	VS_A	ADMI_560_F1				365				770	548	218.66	212.76	
MAP Protocol	VS_A	ADMI_560_F1				382				769	548	218.69	212.70	
MAP Protocol	VS_A	ADMI_560_F1				398								
MAP Protocol	VS_A	ADMI_560_F1				415								
MAP Protocol	VS_A	ADMI_560_F1				431				783	538	218.65	212.75	
MAP Protocol	VS_A	ADMI_560_F1				448				738	537	218.39	212.80	
MAP Protocol	VS_A	ADMI_560_F1				464				616	521	217.84	212.93	
MAP Protocol	VS_A	ADMI_560_F1				481				551	527	217.48	212.98	
MAP Protocol	VS_A	ADMI_560_F1				498				500	555	217.21	212.82	
MAP Protocol	VS_A	ADMI_560_F1				514				497	582	217.13	212.76	
MAP Protocol	VS_A	ADMI_560_F1				531				512	615	217.19	212.54	
MAP Protocol	VS_A	ADMI_560_F1				548				515	629	217.21	212.48	
MAP Protocol	VS_A	ADMI_560_F1				564				509	622	217.19	212.49	
MAP Protocol	VS_A	ADMI_560_F1				581				515	625	217.19	212.49	
MAP Protocol	VS_A	ADMI_560_F1				598				493	622	217.21	212.45	
MAP Protocol	VS_A	ADMI_560_F1				614				497	624	217.21	212.42	
MAP Protocol	VS_A	ADMI_560_F1				631				499	623	217.21	212.39	
MAP Protocol	VS_A	ADMI_560_F1				648				500	628	217.20	212.39	
MAP Protocol	VS_A	ADMI_560_F1				664				496	631	217.19	212.38	
MAP Protocol	VS_A	ADMI_560_F1				666	Instruction Element							
MAP Protocol	VS_A	ADMI_560_F1				681				501	623	217.18	212.34	
MAP Protocol	VS_A	ADMI_560_F1				698				492	627	217.16	212.25	
MAP Protocol	VS_A	ADMI_560_F1				714				497	625	217.12	212.27	
MAP Protocol	VS_A	ADMI_560_F1				731				499	624	217.10	212.26	
MAP Protocol	VS_A	ADMI_560_F1				747				501	624	217.08	212.23	
MAP Protocol	VS_A	ADMI_560_F1				764				508	624	217.07	212.12	
MAP Protocol	VS_A	ADMI_560_F1				781				502	626	217.05	212.14	
MAP Protocol	VS_A	ADMI_560_F1				797				562	602	217.29	212.24	
MAP Protocol	VS_A	ADMI_560_F1				814				615	577	217.63	212.43	
MAP Protocol	VS_A	ADMI_560_F1				831				622	550	217.76	212.58	
MAP Protocol	VS_A	ADMI_560_F1				847				623	561	217.79	212.53	
MAP Protocol	VS_A	ADMI_560_F1				864				627	552	217.85	212.63	
MAP Protocol	VS_A	ADMI_560_F1				881				683	445	218.15	212.96	
MAP Protocol	VS_A	ADMI_560_F1				897				678	431	218.27	213.12	
MAP Protocol	VS_A	ADMI_560_F1				914				679	447	218.23	213.07	
MAP Protocol	VS_A	ADMI_560_F1				931				687	436	218.25	213.04	
MAP Protocol	VS_A	ADMI_560_F1				947				688	435	218.27	213.08	
MAP Protocol	VS_A	ADMI_560_F1				964				701	429	218.26	213.17	
MAP Protocol	VS_A	ADMI_560_F1				981				702	426	218.31	213.11	
MAP Protocol	VS_A	ADMI_560_F1				997				706	430	218.36	213.08	
MAP Protocol	VS_A	ADMI_560_F1				1014				708	428	218.39	213.11	
MAP Protocol	VS_A	ADMI_560_F1				1031				705	430	218.41	213.01	
MAP Protocol	VS_A	ADMI_560_F1				1047				705	423	218.41	213.15	
MAP Protocol	VS_A	ADMI_560_F1				1064				701	420	218.37	213.26	
MAP Protocol	VS_A	ADMI_560_F1				1081				679	376	218.36	213.49	
MAP Protocol	VS_A	ADMI_560_F1				1097				689	400	218.35	213.39	
MAP Protocol	VS_A	ADMI_560_F1				1114				693	389	218.31	213.36	
MAP Protocol	VS_A	ADMI_560_F1				1131				690	393	218.29	213.40	
MAP Protocol	VS_A	ADMI_560_F1				1147				690	389	218.26	213.45	
MAP Protocol	VS_A	ADMI_560_F1				1164				691	391	218.24	213.47	
MAP Protocol	VS_A	ADMI_560_F1				1181				686	386	218.24	213.46	
MAP Protocol	VS_A	ADMI_560_F1				1197				687	387	218.24	213.47	
MAP Protocol	VS_A	ADMI_560_F1				1214				691	393	218.23	213.49	
MAP Protocol	VS_A	ADMI_560_F1				1231				687	385	218.21	213.52	
MAP Protocol	VS_A	ADMI_560_F1				1247				690	386	218.20	213.54	
MAP Protocol	VS_A	ADMI_560_F1				1264				686	380	218.19	213.57	
MAP Protocol	VS_A	ADMI_560_F1				1280				685	386	218.17	213.54	
