StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_B	ADMI_192_P1				75				666	209	226.31	175.84	
MAP Protocol	VS_B	ADMI_192_P1				92				659	210	226.30	175.87	
MAP Protocol	VS_B	ADMI_192_P1				108				666	212	226.29	175.91	
MAP Protocol	VS_B	ADMI_192_P1				125				661	219	226.28	175.96	
MAP Protocol	VS_B	ADMI_192_P1				142				657	215	226.28	175.97	
MAP Protocol	VS_B	ADMI_192_P1				158				687	228	226.41	175.76	
MAP Protocol	VS_B	ADMI_192_P1				175				869	407	227.12	175.40	
MAP Protocol	VS_B	ADMI_192_P1				192				1032	539	227.68	175.05	
MAP Protocol	VS_B	ADMI_192_P1				208				1058	536	227.68	175.02	
MAP Protocol	VS_B	ADMI_192_P1				225				1066	550	227.67	175.02	
MAP Protocol	VS_B	ADMI_192_P1				242				1039	561	227.69	174.97	
MAP Protocol	VS_B	ADMI_192_P1				258				1035	555	227.69	174.97	
MAP Protocol	VS_B	ADMI_192_P1				275				1047	566	227.69	174.98	
MAP Protocol	VS_B	ADMI_192_P1				292				1037	553	227.70	175.00	
MAP Protocol	VS_B	ADMI_192_P1				308				1043	562	227.71	175.01	
MAP Protocol	VS_B	ADMI_192_P1				325				1035	557	227.72	175.02	
MAP Protocol	VS_B	ADMI_192_P1				342				1039	559	227.73	175.04	
MAP Protocol	VS_B	ADMI_192_P1				358				1044	560	227.74	175.07	
MAP Protocol	VS_B	ADMI_192_P1				375				1041	554	227.74	175.09	
MAP Protocol	VS_B	ADMI_192_P1				391				1039	558	227.75	175.09	
MAP Protocol	VS_B	ADMI_192_P1				408				1040	557	227.76	175.09	
MAP Protocol	VS_B	ADMI_192_P1				425				1038	561	227.76	175.08	
MAP Protocol	VS_B	ADMI_192_P1				441				1040	559	227.78	175.14	
MAP Protocol	VS_B	ADMI_192_P1				458				1044	568	227.80	175.31	
MAP Protocol	VS_B	ADMI_192_P1				475				1039	561	227.84	175.31	
MAP Protocol	VS_B	ADMI_192_P1				491				1032	565	227.82	175.39	
MAP Protocol	VS_B	ADMI_192_P1				508				854	469	227.29	175.80	
MAP Protocol	VS_B	ADMI_192_P1				525				675	339	226.75	176.15	
MAP Protocol	VS_B	ADMI_192_P1				541				535	258	226.48	176.24	
MAP Protocol	VS_B	ADMI_192_P1				558				545	256	226.53	176.14	
MAP Protocol	VS_B	ADMI_192_P1				575				536	247	226.54	176.20	
MAP Protocol	VS_B	ADMI_192_P1				591				536	250	226.55	176.16	
MAP Protocol	VS_B	ADMI_192_P1				608				552	263	226.57	176.03	
MAP Protocol	VS_B	ADMI_192_P1				625				558	268	226.59	175.97	
MAP Protocol	VS_B	ADMI_192_P1				641				555	273	226.61	175.94	
MAP Protocol	VS_B	ADMI_192_P1				658				568	269	226.62	175.89	
MAP Protocol	VS_B	ADMI_192_P1				675				563	265	226.63	175.84	
MAP Protocol	VS_B	ADMI_192_P1				691				558	261	226.64	175.82	
MAP Protocol	VS_B	ADMI_192_P1				708				563	263	226.64	175.79	
MAP Protocol	VS_B	ADMI_192_P1				724				562	261	226.64	175.80	
MAP Protocol	VS_B	ADMI_192_P1				741				560	260	226.65	175.77	
MAP Protocol	VS_B	ADMI_192_P1				758				567	268	226.70	175.62	
MAP Protocol	VS_B	ADMI_192_P1				774				560	270	226.76	175.48	
MAP Protocol	VS_B	ADMI_192_P1				791				561	269	226.80	175.51	
MAP Protocol	VS_B	ADMI_192_P1				808				568	263	226.84	175.52	
MAP Protocol	VS_B	ADMI_192_P1				817	Instruction Element							
MAP Protocol	VS_B	ADMI_192_P1				824				556	274	226.94	175.27	
MAP Protocol	VS_B	ADMI_192_P1				841				565	259	226.98	175.39	
MAP Protocol	VS_B	ADMI_192_P1				858				559	261	227.05	175.41	
MAP Protocol	VS_B	ADMI_192_P1				874				564	262	227.13	175.30	
MAP Protocol	VS_B	ADMI_192_P1				891				564	263	227.17	175.40	
MAP Protocol	VS_B	ADMI_192_P1				908				558	262	227.23	175.46	
MAP Protocol	VS_B	ADMI_192_P1				924				563	268	227.30	175.37	
MAP Protocol	VS_B	ADMI_192_P1				941				571	268	227.34	175.40	
MAP Protocol	VS_B	ADMI_192_P1				958				569	274	227.42	175.44	
MAP Protocol	VS_B	ADMI_192_P1				974				570	272	227.47	175.35	
MAP Protocol	VS_B	ADMI_192_P1				991				570	263	227.52	175.36	
MAP Protocol	VS_B	ADMI_192_P1				1008				602	308	227.76	175.25	
MAP Protocol	VS_B	ADMI_192_P1				1024				692	414	228.17	174.87	
MAP Protocol	VS_B	ADMI_192_P1				1041				678	405	228.19	174.87	
MAP Protocol	VS_B	ADMI_192_P1				1058				682	417	228.24	175.00	
MAP Protocol	VS_B	ADMI_192_P1				1074				687	416	228.34	174.87	
MAP Protocol	VS_B	ADMI_192_P1				1091				691	417	228.36	174.90	
MAP Protocol	VS_B	ADMI_192_P1				1108				681	423	228.43	175.05	
MAP Protocol	VS_B	ADMI_192_P1				1124				685	416	228.51	174.88	
MAP Protocol	VS_B	ADMI_192_P1				1141				684	417	228.53	174.93	
MAP Protocol	VS_B	ADMI_192_P1				1158				693	416	228.54	174.93	
MAP Protocol	VS_B	ADMI_192_P1				1174				698	416	228.56	175.09	
MAP Protocol	VS_B	ADMI_192_P1				1191				689	425	228.58	175.11	
MAP Protocol	VS_B	ADMI_192_P1				1208				695	426	228.60	175.15	
MAP Protocol	VS_B	ADMI_192_P1				1224				688	423	228.62	175.20	
MAP Protocol	VS_B	ADMI_192_P1				1241				686	420	228.64	175.21	
MAP Protocol	VS_B	ADMI_192_P1				1258				688	416	228.66	175.18	
MAP Protocol	VS_B	ADMI_192_P1				1274				684	417	228.68	175.22	
MAP Protocol	VS_B	ADMI_192_P1				1291				691	426	228.69	175.30	
MAP Protocol	VS_B	ADMI_192_P1				1308				692	425	228.70	175.34	
MAP Protocol	VS_B	ADMI_192_P1				1324				687	421	228.71	175.39	
MAP Protocol	VS_B	ADMI_192_P1				1341				692	416	228.73	175.40	
MAP Protocol	VS_B	ADMI_192_P1				1357				688	419	228.73	175.42	
MAP Protocol	VS_B	ADMI_192_P1				1374				687	410	228.72	175.41	
MAP Protocol	VS_B	ADMI_192_P1				1391				686	423	228.71	175.37	
MAP Protocol	VS_B	ADMI_192_P1				1407				678	418	228.69	175.27	
MAP Protocol	VS_B	ADMI_192_P1				1424				693	418	228.65	175.20	
MAP Protocol	VS_B	ADMI_192_P1				1441				690	418	228.60	175.28	
MAP Protocol	VS_B	ADMI_192_P1				1457				681	422	228.55	175.36	
MAP Protocol	VS_B	ADMI_192_P1				1474				688	419	228.52	175.26	
MAP Protocol	VS_B	ADMI_192_P1				1491				693	427	228.45	175.25	
MAP Protocol	VS_B	ADMI_192_P1				1507				688	422	228.37	175.42	
MAP Protocol	VS_B	ADMI_192_P1				1524				688	425	228.34	175.12	
MAP Protocol	VS_B	ADMI_192_P1				1541				692	419	228.25	175.33	
MAP Protocol	VS_B	ADMI_192_P1				1557				686	429	228.21	175.31	
MAP Protocol	VS_B	ADMI_192_P1				1574				691	419	228.17	175.18	
MAP Protocol	VS_B	ADMI_192_P1				1591				698	419	228.11	175.18	
MAP Protocol	VS_B	ADMI_192_P1				1607				685	417	228.05	175.20	
MAP Protocol	VS_B	ADMI_192_P1				1624				689	413	228.02	175.09	
MAP Protocol	VS_B	ADMI_192_P1				1641				686	412	227.97	175.08	
MAP Protocol	VS_B	ADMI_192_P1				1657				693	423	227.89	175.19	
MAP Protocol	VS_B	ADMI_192_P1				1674				693	425	227.84	175.16	
MAP Protocol	VS_B	ADMI_192_P1				1690				688	422	227.81	175.10	
MAP Protocol	VS_B	ADMI_192_P1				1707				691	423	227.78	175.15	
MAP Protocol	VS_B	ADMI_192_P1				1724				686	425	227.73	175.23	
MAP Protocol	VS_B	ADMI_192_P1				1740				693	419	227.69	175.21	
MAP Protocol	VS_B	ADMI_192_P1				1757				695	423	227.66	175.11	
MAP Protocol	VS_B	ADMI_192_P1				1774				692	422	227.65	174.94	
MAP Protocol	VS_B	ADMI_192_P1				1790				689	422	227.63	174.96	
MAP Protocol	VS_B	ADMI_192_P1				1807				689	422	227.60	174.99	
MAP Protocol	VS_B	ADMI_192_P1				1824				690	420	227.57	175.00	
MAP Protocol	VS_B	ADMI_192_P1				1840				690	423	227.55	175.04	
MAP Protocol	VS_B	ADMI_192_P1				1857				681	416	227.53	175.09	
MAP Protocol	VS_B	ADMI_192_P1				1874				680	426	227.51	175.14	
MAP Protocol	VS_B	ADMI_192_P1				1890				692	426	227.49	174.92	
MAP Protocol	VS_B	ADMI_192_P1				1907				686	420	227.48	174.94	
MAP Protocol	VS_B	ADMI_192_P1				1924				688	414	227.45	175.03	
MAP Protocol	VS_B	ADMI_192_P1				1940				691	414	227.41	175.11	
MAP Protocol	VS_B	ADMI_192_P1				1957				685	419	227.39	175.20	
MAP Protocol	VS_B	ADMI_192_P1				1974				695	420	227.38	175.21	
MAP Protocol	VS_B	ADMI_192_P1				1990				693	416	227.37	175.22	
MAP Protocol	VS_B	ADMI_192_P1				2007				698	421	227.37	175.23	
MAP Protocol	VS_B	ADMI_192_P1				2024				689	418	227.37	175.25	
MAP Protocol	VS_B	ADMI_192_P1				2040				687	422	227.38	175.25	
MAP Protocol	VS_B	ADMI_192_P1				2057				690	418	227.39	175.27	
MAP Protocol	VS_B	ADMI_192_P1				2074				690	420	227.40	175.28	
MAP Protocol	VS_B	ADMI_192_P1				2090				689	418	227.43	175.22	
MAP Protocol	VS_B	ADMI_192_P1				2107				699	417	227.45	175.20	
