StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_B	ADMI_437_M1				32				711	505	241.65	238.27	
MAP Protocol	VS_B	ADMI_437_M1				49				581	472	241.25	238.40	
MAP Protocol	VS_B	ADMI_437_M1				65				484	445	240.94	238.56	
MAP Protocol	VS_B	ADMI_437_M1				82				489	439	240.79	238.47	
MAP Protocol	VS_B	ADMI_437_M1				98				489	436	240.69	238.43	
MAP Protocol	VS_B	ADMI_437_M1				115				488	446	240.62	238.40	
MAP Protocol	VS_B	ADMI_437_M1				132				495	445	240.54	238.47	
MAP Protocol	VS_B	ADMI_437_M1				148				493	446	240.41	238.34	
MAP Protocol	VS_B	ADMI_437_M1				165								
MAP Protocol	VS_B	ADMI_437_M1				182				478	433	240.28	238.48	
MAP Protocol	VS_B	ADMI_437_M1				198				486	437	240.27	238.53	
MAP Protocol	VS_B	ADMI_437_M1				215				487	437	240.27	238.56	
MAP Protocol	VS_B	ADMI_437_M1				232				476	434	240.29	238.57	
MAP Protocol	VS_B	ADMI_437_M1				248				481	433	240.30	238.64	
MAP Protocol	VS_B	ADMI_437_M1				265				483	433	240.32	238.77	
MAP Protocol	VS_B	ADMI_437_M1				282				486	432	240.35	238.79	
MAP Protocol	VS_B	ADMI_437_M1				298				487	423	240.35	238.83	
MAP Protocol	VS_B	ADMI_437_M1				315				489	431	240.34	238.85	
MAP Protocol	VS_B	ADMI_437_M1				332				484	428	240.34	238.86	
MAP Protocol	VS_B	ADMI_437_M1				348				489	439	240.33	238.88	
MAP Protocol	VS_B	ADMI_437_M1				365								
MAP Protocol	VS_B	ADMI_437_M1				381								
MAP Protocol	VS_B	ADMI_437_M1				398				486	423	240.37	238.94	
MAP Protocol	VS_B	ADMI_437_M1				414				483	434	240.38	238.93	
