StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_B	ADMI_560_F1				41				813	577	225.99	212.49	
MAP Protocol	VS_B	ADMI_560_F1				57				804	576	226.01	212.55	
MAP Protocol	VS_B	ADMI_560_F1				74				811	571	226.03	212.49	
MAP Protocol	VS_B	ADMI_560_F1				91				809	578	226.04	212.48	
MAP Protocol	VS_B	ADMI_560_F1				107				809	583	226.06	212.48	
MAP Protocol	VS_B	ADMI_560_F1				124				810	577	226.07	212.47	
MAP Protocol	VS_B	ADMI_560_F1				141				812	580	226.09	212.47	
MAP Protocol	VS_B	ADMI_560_F1				157				821	572	226.10	212.52	
MAP Protocol	VS_B	ADMI_560_F1				174				828	578	226.11	212.49	
MAP Protocol	VS_B	ADMI_560_F1				191				829	578	226.13	212.51	
MAP Protocol	VS_B	ADMI_560_F1				207				831	572	226.16	212.61	
MAP Protocol	VS_B	ADMI_560_F1				224				865	567	226.29	212.61	
MAP Protocol	VS_B	ADMI_560_F1				241				846	566	226.28	212.69	
MAP Protocol	VS_B	ADMI_560_F1				257				856	570	226.27	212.75	
MAP Protocol	VS_B	ADMI_560_F1				274				851	568	226.30	212.77	
MAP Protocol	VS_B	ADMI_560_F1				291				852	571	226.32	212.79	
MAP Protocol	VS_B	ADMI_560_F1				307				852	572	226.34	212.82	
MAP Protocol	VS_B	ADMI_560_F1				324				852	565	226.36	213.00	
MAP Protocol	VS_B	ADMI_560_F1				341				826	539	226.26	213.05	
MAP Protocol	VS_B	ADMI_560_F1				357				748	417	226.03	213.65	
MAP Protocol	VS_B	ADMI_560_F1				374				717	381	225.95	213.85	
MAP Protocol	VS_B	ADMI_560_F1				391				698	351	225.83	214.09	
MAP Protocol	VS_B	ADMI_560_F1				407				696	357	225.79	214.04	
MAP Protocol	VS_B	ADMI_560_F1				424				698	359	225.78	214.01	
MAP Protocol	VS_B	ADMI_560_F1				441				701	354	225.79	214.00	
MAP Protocol	VS_B	ADMI_560_F1				457				702	354	225.80	213.99	
MAP Protocol	VS_B	ADMI_560_F1				474				697	360	225.82	213.95	
MAP Protocol	VS_B	ADMI_560_F1				490				702	359	225.85	213.86	
MAP Protocol	VS_B	ADMI_560_F1				507				700	356	225.86	213.87	
MAP Protocol	VS_B	ADMI_560_F1				524				703	360	225.86	213.78	
MAP Protocol	VS_B	ADMI_560_F1				540				703	359	225.85	213.68	
MAP Protocol	VS_B	ADMI_560_F1				557				699	362	225.84	213.60	
MAP Protocol	VS_B	ADMI_560_F1				574				704	363	225.83	213.58	
MAP Protocol	VS_B	ADMI_560_F1				590				698	362	225.81	213.57	
MAP Protocol	VS_B	ADMI_560_F1				607				702	360	225.80	213.57	
MAP Protocol	VS_B	ADMI_560_F1				624				704	363	225.81	213.55	
MAP Protocol	VS_B	ADMI_560_F1				640				706	362	225.81	213.53	
MAP Protocol	VS_B	ADMI_560_F1				657				705	366	225.82	213.49	
MAP Protocol	VS_B	ADMI_560_F1				664	Instruction Element							
MAP Protocol	VS_B	ADMI_560_F1				674				701	366	225.81	213.50	
MAP Protocol	VS_B	ADMI_560_F1				690				705	363	225.82	213.41	
MAP Protocol	VS_B	ADMI_560_F1				707				702	363	225.83	213.39	
MAP Protocol	VS_B	ADMI_560_F1				724				703	370	225.84	213.35	
MAP Protocol	VS_B	ADMI_560_F1				740				704	374	225.83	213.30	
MAP Protocol	VS_B	ADMI_560_F1				757				705	367	225.82	213.24	
MAP Protocol	VS_B	ADMI_560_F1				774				706	369	225.79	213.20	
MAP Protocol	VS_B	ADMI_560_F1				790				700	365	225.76	213.19	
MAP Protocol	VS_B	ADMI_560_F1				807				702	367	225.73	213.12	
MAP Protocol	VS_B	ADMI_560_F1				823				707	369	225.72	213.12	
MAP Protocol	VS_B	ADMI_560_F1				840				706	371	225.71	213.10	
MAP Protocol	VS_B	ADMI_560_F1				857				708	371	225.71	213.10	
MAP Protocol	VS_B	ADMI_560_F1				873				703	367	225.70	213.10	
MAP Protocol	VS_B	ADMI_560_F1				890				707	374	225.71	213.10	
MAP Protocol	VS_B	ADMI_560_F1				907				702	369	225.70	213.09	
MAP Protocol	VS_B	ADMI_560_F1				923				708	377	225.71	213.08	
MAP Protocol	VS_B	ADMI_560_F1				940				691	380	225.66	212.98	
MAP Protocol	VS_B	ADMI_560_F1				957				676	378	225.60	213.00	
MAP Protocol	VS_B	ADMI_560_F1				973				683	379	225.65	212.99	
MAP Protocol	VS_B	ADMI_560_F1				990				684	380	225.64	212.91	
MAP Protocol	VS_B	ADMI_560_F1				1007				680	379	225.64	212.89	
MAP Protocol	VS_B	ADMI_560_F1				1024				686	391	225.63	212.90	
MAP Protocol	VS_B	ADMI_560_F1				1040				681	387	225.62	212.98	
