StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_A	ADMI_005_M1				32				194	259	255.20	229.60	
MAP Protocol	VS_A	ADMI_005_M1				48				199	261	255.20	229.60	
MAP Protocol	VS_A	ADMI_005_M1				65				197	255	255.19	229.63	
MAP Protocol	VS_A	ADMI_005_M1				82				198	261	255.21	229.62	
MAP Protocol	VS_A	ADMI_005_M1				98				259	305	255.34	229.53	
MAP Protocol	VS_A	ADMI_005_M1				115				239	285	255.34	229.45	
MAP Protocol	VS_A	ADMI_005_M1				132				250	296	255.33	229.37	
MAP Protocol	VS_A	ADMI_005_M1				148				245	299	255.32	229.36	
MAP Protocol	VS_A	ADMI_005_M1				165				245	293	255.28	229.47	
MAP Protocol	VS_A	ADMI_005_M1				182				241	294	255.25	229.52	
MAP Protocol	VS_A	ADMI_005_M1				198				245	297	255.22	229.52	
MAP Protocol	VS_A	ADMI_005_M1				215				242	297	255.19	229.48	
MAP Protocol	VS_A	ADMI_005_M1				232				246	299	255.16	229.39	
MAP Protocol	VS_A	ADMI_005_M1				248				247	297	255.13	229.37	
MAP Protocol	VS_A	ADMI_005_M1				265				248	298	255.11	229.37	
MAP Protocol	VS_A	ADMI_005_M1				281				248	300	255.08	229.47	
MAP Protocol	VS_A	ADMI_005_M1				298				248	294	255.06	229.54	
MAP Protocol	VS_A	ADMI_005_M1				315				244	301	255.05	229.57	
MAP Protocol	VS_A	ADMI_005_M1				331				234	300	255.03	229.65	
MAP Protocol	VS_A	ADMI_005_M1				348				237	298	255.02	229.66	
MAP Protocol	VS_A	ADMI_005_M1				365				247	300	255.01	229.60	
MAP Protocol	VS_A	ADMI_005_M1				381				249	299	255.02	229.61	
MAP Protocol	VS_A	ADMI_005_M1				398				241	299	255.04	229.70	
MAP Protocol	VS_A	ADMI_005_M1				415				256	302			
MAP Protocol	VS_A	ADMI_005_M1				431				260	309	255.10	229.59	
MAP Protocol	VS_A	ADMI_005_M1				448				245	301	255.11	229.71	
MAP Protocol	VS_A	ADMI_005_M1				465				248	301	255.16	229.66	
MAP Protocol	VS_A	ADMI_005_M1				481				250	300	255.18	229.58	
MAP Protocol	VS_A	ADMI_005_M1				498				248	301	255.21	229.66	
MAP Protocol	VS_A	ADMI_005_M1				515				254	302	255.23	229.61	
MAP Protocol	VS_A	ADMI_005_M1				531				251	305	255.26	229.63	
MAP Protocol	VS_A	ADMI_005_M1				548				254	303	255.31	229.57	
MAP Protocol	VS_A	ADMI_005_M1				565				255	303	255.32	229.49	
